dir,entry_idx,exit_idx,entry,exit,pnl,balance
SHORT,17378,17380,66092.19,66184.719066,-4.551350081484022,233.70788762444016
SHORT,17485,17488,66417.43,66510.414402,-4.442085820077801,228.09726236624016
LONG,17634,17638,64214.0,64342.428,3.4191779628699353,230.37595401727887
SHORT,17689,17693,64382.0,64472.13480000001,-4.3787557580066725,224.84531848918581
SHORT,17731,17732,64623.78,64714.253292,-4.273634968524038,219.44745692821584
LONG,17798,17800,63186.0,63312.372,3.289517379354061,221.63973702292884
LONG,17905,17906,64642.01,64551.511186,-4.209603525276441,216.32193481253776
SHORT,17920,17921,64266.02,64355.992428,-4.1116310149819375,211.12869412349315
SHORT,18008,18009,64476.04,64566.306456000006,-4.012923089205392,206.06012756367028
LONG,18058,18059,63478.01,63389.140786,-3.9137000028167392,201.11612692303518
LONG,18150,18151,61552.46,61466.286556,-3.819798598649208,196.2907476897708
LONG,18219,18220,61788.01,61701.506786000005,-3.7281501708717104,191.58114378045022
LONG,18262,18265,61646.11,61769.40222,2.871801345269042,193.495039406817
SHORT,18330,18331,61567.6,61444.4648,2.904360541496229,195.43192475127915
SHORT,18423,18424,60488.01,60572.693214000006,-3.7145745937476997,190.74019053377506
LONG,18459,18461,60871.89,60993.63378,2.859195456101196,192.6456850372074
SHORT,18518,18521,60782.38,60660.815239999996,2.8916117324085184,194.57406834442986
LONG,18659,18660,58788.01,58705.706786,-3.6955452800657422,189.90565272264197
SHORT,18682,18683,59084.01,59166.727614,-3.60953674129929,185.34658771772948
SHORT,18688,18689,58915.12,58797.28976,2.7820522816432125,187.20190706078404
LONG,18706,18707,58801.99,58719.667214,-3.5555258208053755,182.71037170467474
LONG,18762,18763,54143.62,54251.90724,2.7388284718530014,184.53564831800438
LONG,18811,18812,52367.87,52472.605740000006,2.7661893682870167,186.37915944470137
SHORT,18837,18838,52382.0,52277.236,2.7975511832650692,188.2448148307429
SHORT,18924,18925,54039.11,54114.764754,-3.57796919548803,183.72562156110115
LONG,18963,18964,53776.0,53700.7136,-3.4895007303098993,179.31749272298572
SHORT,19006,19007,54030.01,53921.949980000005,2.691555565771921,181.1124608251427
LONG,19013,19014,55473.99,55396.326414,-3.4398689684517767,176.76702955256522
LONG,19079,19080,55894.76,55816.507336,-3.3573361922918594,172.52585821251054
